epoch,train0,train1,train2,train3,train4,train5,train6,train7,val0
1,0.19764165700568506,0.5694437304822108,0.3901449727612392,0.1439574653437982,0.08091766417298156,0.17361025238157404,0.23637005942873657,0.21292923357880986,0.10208863064569111
2,0.17755435392609797,0.5556361000053585,0.3751423505988593,0.1389406199256579,0.05788505832121397,0.1727005524104849,0.23066632666935524,0.2116943815878282,0.11193730689895649
3,0.1845723477502664,0.5397218701740106,0.38230242502565187,0.13905428617727011,0.0608611829035605,0.1786946814196805,0.23163637216202915,0.22214026934428452,0.1189979026094079
4,0.18890362262997465,0.5261279496674737,0.3551861542024805,0.1387755494118513,0.06287225879592977,0.16605698793622045,0.22453838489794484,0.19338367155190403,0.09997657387672614
5,0.17715033431886695,0.5166007106502851,0.35742467068484984,0.1560014694405254,0.059741331885258354,0.16997416988791278,0.2289679415213565,0.21993124516059956,0.10112410958390683
6,0.18089188488859995,0.5155481765201936,0.34621214820072055,0.13663118763361126,0.066932163113961,0.18070255247099945,0.24190022649418097,0.2046172667760402,0.13677785504842177
7,0.18262613362943134,0.5591032837983221,0.3879825902598289,0.154319955399842,0.059314800697999694,0.17903242361110946,0.22911034540932937,0.2034626120585017,0.09635048759325097
8,0.1780260201000298,0.5373016560139755,0.3517053958203178,0.12956257423017328,0.05325536670473715,0.1823739890290502,0.23631591751473024,0.20329864555969834,0.09088484190093975
9,0.1911174068809487,0.5468982839180777,0.3466798151785042,0.1461593286464146,0.0529988801087408,0.17254866842995398,0.23050053049034128,0.1975492752098944,0.09361438744235784
10,0.1654574847392117,0.4827513573691249,0.3721723923032793,0.14158488337610228,0.05819585674908012,0.17501150603493443,0.23171037245386591,0.19100380752934143,0.08951924225645295
11,0.17491772340144962,0.552171747898683,0.3502856337581761,0.1291187281991976,0.05095819831816092,0.1726185785131141,0.22179380252297656,0.2032390630338341,0.09126705133045714
12,0.16346877557225525,0.49687413696665317,0.34490312948279706,0.14838722611602861,0.05525004083998889,0.16955518806935288,0.22114567105745664,0.1934786008981367,0.0895406884374097
13,0.16054901220680526,0.5200703121566524,0.33486982420436107,0.14789804016860822,0.0570239399530692,0.1679449122554312,0.2133604755217675,0.18726216731981063,0.09573283133371054
14,0.16355520925329378,0.4476089019396265,0.37332272056179744,0.14870046419188535,0.053209132592504226,0.1818277609612172,0.23645096285811937,0.21636907492453852,0.10275897453539073
15,0.1830241964198649,0.5627062730588174,0.37713251425884664,0.1406105078397862,0.054936035492573865,0.164171453298574,0.21784848733174536,0.19557587121380493,0.09379460084164748
16,0.16300581058021635,0.4914427707675107,0.3480331801086625,0.13711238854254285,0.05798212962205677,0.17206057728617452,0.21581523263982186,0.19115392694220645,0.09590996941551566
17,0.15672528459011423,0.4549045044113882,0.3339459059449534,0.1346710262975345,0.0481647867927677,0.16466090470203198,0.23456062057327168,0.19221407054768255,0.09673027321696281
18,0.17506361525253547,0.5342320434283465,0.31903068845470745,0.16316756465433477,0.0591640449129045,0.18409338519753268,0.23482703964206544,0.19818662255905414,0.10375632491195574
19,0.16030850839645913,0.47266770526766777,0.31005315359895275,0.12702184877222558,0.052671152962526925,0.17610909848008305,0.23278981930343434,0.2036650241643656,0.10097231048469742
20,0.17351489040690163,0.5198512761077533,0.3317724826435248,0.22069636938006928,0.05762449293009316,0.19057600087156365,0.2452352928230539,0.22429566225522043,0.12093164399266243
21,0.18674503451378163,0.560104304808192,0.38318923763775575,0.15195218780233213,0.05558323332904062,0.17280627552584824,0.2234284580529978,0.2035986193610976,0.09723421543215711
22,0.16565251940240464,0.5328689153927068,0.3473755105951568,0.13780316366561843,0.05767142506374512,0.18586666720026793,0.22092289101177207,0.20416726008988917,0.10442708054324612
23,0.1625784880501063,0.535349680831132,0.3472008592604349,0.1328371311101364,0.053200232214294374,0.1757994756383899,0.21568183600902557,0.19680515438813018,0.10022812923853053
24,0.16047329530313922,0.5034920406117939,0.3332913147751242,0.13153186709193201,0.05512523609407557,0.1810181086572508,0.23536321434463994,0.20828434357584533,0.10040032007964328
25,0.17400763804713884,0.5402867058098005,0.36370316871034447,0.14161364029860124,0.05267372960709812,0.1716470819155802,0.22186528575305905,0.19651417612719038,0.09797463934713353
26,0.1616420119147127,0.5130413990312567,0.35509839188307524,0.13016297353897244,0.05336157610387696,0.17799321271013469,0.222511845495319,0.18956009352890155,0.0939997483510524
27,0.16337607885846714,0.4947153036094581,0.325771131804989,0.14068117698964974,0.05413793845218606,0.16620375354250427,0.2309322857084529,0.17456727382644507,0.0984463967421713
28,0.16509320121015966,0.47790170018561184,0.37388660898432136,0.13640725568984635,0.055300427819020115,0.17761420967872255,0.2290970810378591,0.20443091681227088,0.09541081388791402
29,0.17346755118342116,0.5235429933818523,0.3476946933660656,0.13306787237767517,0.05459126245841617,0.17222555575911733,0.22960140985863595,0.1918740689943661,0.0955835171819975
30,0.15585919816900665,0.5186466669159321,0.32386347991996445,0.14473389408279522,0.05804129104944877,0.17586901977968714,0.2282026519436234,0.19524499704129994,0.1009738183687053
31,0.15246131491827933,0.46087767897794646,0.30518224090337753,0.16312580835801782,0.05715337632864248,0.17717565160516338,0.2167132350926598,0.1936311666989544,0.09997510289152463
32,0.15187443086567023,0.5121956918640839,0.3047681188860831,0.14648767036851496,0.058773844687190525,0.17638572435438013,0.23095357460745922,0.1828569203231988,0.09672458097338676
33,0.1529117620860537,0.47554784702757996,0.3212911105947569,0.1377843446971383,0.061172046892655395,0.17092096350582628,0.21536753664258868,0.18726177148831388,0.10033233008046712
34,0.15848238394149425,0.47995507523107034,0.4515942200475062,0.15222139836502416,0.048950447962852195,0.17201270745135844,0.21617440136227137,0.18715926408185624,0.10052950447425246
35,0.15658015901378045,0.47334824725597474,0.33190699441668886,0.13194727293254496,0.049261564311260976,0.1752749092023199,0.22888749942649156,0.18670412241287218,0.09313523874152452
36,0.15024441938536862,0.4808877860341454,0.3038129185733851,0.14750058855861425,0.048744473411109844,0.17742921625540475,0.22977769557231417,0.19192975154146552,0.10377768524146329
37,0.1508288198238006,0.45258546876721084,0.2793271880558071,0.1728370392229408,0.0602340407591934,0.177610902050219,0.236409394373671,0.20673962604875365,0.0963307869581816
38,0.16125395168395093,0.49973296441021375,0.285407567047514,0.2885824783394734,0.0666289937653346,0.18074947777980319,0.23140796409764638,0.20616553157257536,0.09775813480761524
39,0.16411883250354245,0.5390558924312548,0.3532439626578707,0.14778641893644817,0.04948898513248423,0.16360316849507703,0.21994920688060424,0.18643790599890053,0.09478455001953989
40,0.15606223099894123,0.5240991801256314,0.33374730859335006,0.14268873600910106,0.0756195504606391,0.17904833542221846,0.23087748998659663,0.1985345617091904,0.09878467518622831
41,0.17243655185059956,0.47540410642977804,0.28208058315794915,0.13551418209681287,0.06096697648657331,0.16637483162048738,0.23118161203941176,0.20091329804078364,0.09568021923769265
42,0.14733163261553273,0.42906793641547364,0.2707666652374125,0.16243242678319803,0.048337079089833423,0.17775002498334894,0.22248134958742108,0.2117648724015453,0.10342293591869141
43,0.15622970613185316,0.5135780096752569,0.27033857671388734,0.18446155018803742,0.05532017103784407,0.17054766496100152,0.23493075283477083,0.20358661042215923,0.1050948202998067
44,0.17496783886357056,0.47024110310788575,0.29063208571945626,0.14204821099216738,0.09230442609502158,0.17344705516006798,0.22766572974311808,0.21389594309342405,0.10496576180836807
45,0.15594492150315395,0.46367995609762147,0.27153353055473417,0.1397660391885438,0.08003118981044584,0.1722805584965196,0.2336519688445454,0.19562138236748675,0.09766326744284015
46,0.15079830734127123,0.45993665425339714,0.24832671033679313,0.15292968748690328,0.06078415480442345,0.1698449729544033,0.2308516712024963,0.19630459542774284,0.09581311116926372
47,0.14661206351593137,0.44836687383940443,0.24554420060788593,0.12235096922086086,0.054726205727395914,0.1732969449221855,0.22830739179820134,0.19138134620152414,0.09400741173885763
48,0.14857372883125208,0.443612009830152,0.2347865590515236,0.1308407857407777,0.05311221710871905,0.17191095437738113,0.23634464045365652,0.20087409667030443,0.0940901516781499
49,0.14921998618228827,0.4816001465854545,0.2426426796397815,0.17379118802637095,0.03713531981823811,0.1765896468423307,0.2318041148634317,0.19827619562177765,0.09692448284476995
50,0.14877647807103736,0.47426587434407946,0.20515476712413752,0.14430004967289278,0.07285119675361784,0.1691873455468643,0.22797711054833295,0.1936401764008527,0.09556745593242037
51,0.13833082617202308,0.4828610372593782,0.29009130321598303,0.1514852205485416,0.04395835644875964,0.17923861811868846,0.22101311090712747,0.19151562308737388,0.09751999053211573
52,0.16120764694642276,0.4853560751847302,0.24084208665105203,0.2115561681178709,0.04873256425101621,0.16118560188139477,0.22400277715253955,0.17549131340153204,0.09573367801688921
53,0.14739303203532472,0.4573349928929626,0.2722316831010782,0.1432031603908399,0.04719702861742311,0.16534880459463844,0.2194896038272418,0.16085562476655468,0.09662735718302429
